epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4841.97,0.72462,0.61117,0.00377,0.83981,0.77015,0.85035,0.64745,1.00499,0.7067,0.00569,0.000142769,0.000142769,0.000142769
58,4922.11,0.73151,0.61316,0.00378,0.81841,0.77067,0.84083,0.63859,0.98497,0.72504,0.00555,0.000132432,0.000132432,0.000132432
59,5000.75,0.7238,0.60895,0.00376,0.81467,0.7974,0.8574,0.65219,0.99508,0.6792,0.00544,0.00012241,0.00012241,0.00012241
60,5079.13,0.72246,0.60985,0.0037,0.84049,0.78676,0.85778,0.66288,0.90655,0.66684,0.00526,0.000112719,0.000112719,0.000112719
61,5156.95,0.71809,0.61059,0.00363,0.84695,0.78162,0.86117,0.65387,0.9982,0.68459,0.0054,0.000103373,0.000103373,0.000103373
62,5236.18,0.70788,0.59791,0.00365,0.84825,0.78283,0.86285,0.6486,1.00845,0.68062,0.00543,9.43874e-05,9.43874e-05,9.43874e-05
63,5315.5,0.70648,0.59929,0.0036,0.81378,0.81817,0.85487,0.65121,0.96984,0.66689,0.0053,8.57756e-05,8.57756e-05,8.57756e-05
64,5394.59,0.71724,0.5998,0.00357,0.82467,0.80095,0.86056,0.65675,0.96747,0.67719,0.00535,7.75508e-05,7.75508e-05,7.75508e-05
65,5472.35,0.70985,0.59407,0.00366,0.84117,0.80586,0.85748,0.65728,0.94158,0.65571,0.00522,6.97259e-05,6.97259e-05,6.97259e-05
66,5559.8,0.717,0.54978,0.00614,0.78377,0.81255,0.84108,0.63147,0.99231,0.69956,0.00567,6.23128e-05,6.23128e-05,6.23128e-05
67,5637.1,0.69538,0.52336,0.00571,0.83626,0.7895,0.85082,0.64336,0.9847,0.67233,0.00561,5.53231e-05,5.53231e-05,5.53231e-05
68,5713.07,0.69847,0.52459,0.00559,0.8049,0.82056,0.8502,0.63937,0.99436,0.68089,0.00548,4.87674e-05,4.87674e-05,4.87674e-05
69,5790.86,0.6849,0.51517,0.00559,0.82639,0.79203,0.84935,0.64438,0.97748,0.67784,0.00537,4.26558e-05,4.26558e-05,4.26558e-05
